Curtis Granderson,12830,11213,Curtis Granderson,Diamond,Tigers,97,Charisma,CF,False,,,,97,False,True,SET 1,False,2023-04-12 13:45:36.214761
Troy Glaus,12905,11223,Troy Glaus,Diamond,Angels,97,Charisma,3B,False,,,,97,False,True,SET 1,False,2023-04-12 13:45:36.214761
Johnny Bench,12620,11117,Johnny Bench,Diamond,Reds,97,Charisma,C,False,,,,97,False,True,SET 1,False,2023-04-12 13:45:36.214761
Craig Biggio,12860,11350,Craig Biggio,Diamond,Astros,97,Charisma,2B,False,,,,97,False,True,SET 1,False,2023-04-12 13:45:36.214761
Eric Davis,11999,11211,Eric Davis,Diamond,Orioles,97,Charisma,RF,False,,,,97,False,True,SET 1,False,2023-04-12 13:45:36.214761
Lee Smith,13050,11206,Lee Smith,Diamond,Cardinals,97,Charisma,CP,False,,,,97,False,True,SET 1,False,2023-04-12 13:45:36.214761
Madison Bumgarner,12993,11216,Madison Bumgarner,Diamond,Giants,97,Charisma,SP,False,,,,97,False,True,SET 1,False,2023-04-12 13:45:36.214761
Tim Anderson,12890,11133,Tim Anderson,Diamond,White Sox,97,World Baseball Classic,2B,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Gio Urshela,13410,11568,Gio Urshela,Diamond,Angels,97,World Baseball Classic,3B,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Triston Casas,32411,27333,Triston Casas,Diamond,Red Sox,97,Future Stars,1B,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Hunter Brown,44895,38610,Hunter Brown,Diamond,Astros,97,Future Stars,SP,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Josh Jung,35650,27350,Josh Jung,Diamond,Rangers,96,Future Stars,3B,False,,,,96,False,False,SET 1,False,2023-04-12 13:45:36.214761
Ezequiel Tovar,34820,29021,Ezequiel Tovar,Diamond,Rockies,96,Future Stars,SS,False,,,,96,False,False,SET 1,False,2023-04-12 13:45:36.214761
Miguel Vargas,29295,24588,Miguel Vargas,Diamond,Dodgers,96,Future Stars,2B,False,,,,96,False,False,SET 1,False,2023-04-12 13:45:36.214761
Logan O'Hoppe,46993,38177,Logan O'Hoppe,Diamond,Angels,96,Future Stars,C,False,,,,96,False,False,SET 1,False,2023-04-12 13:45:36.214761
Jacob deGrom,131222,126005,Jacob deGrom,Diamond,Rangers,95,Live,SP,False,,,,95,False,True,CORE,True,2023-04-12 13:45:36.214761
Aaron Judge,191500,182421,Aaron Judge,Diamond,Yankees,95,Live,RF,False,,4.0,3,95,False,True,CORE,True,2023-04-12 13:45:36.214761
Julio Urias,22125,19421,Julio Urias,Diamond,Dodgers,95,World Baseball Classic,SP,False,,,,95,False,False,SET 1,False,2023-04-12 13:45:36.214761
Vinny Castilla,17000,14921,Vinny Castilla,Diamond,Rockies,95,Awards,3B,False,,,,95,False,True,SET 1,False,2023-04-12 13:45:36.214761
Shohei Ohtani,151500,144444,Shohei Ohtani,Diamond,Angels,95,Live,SP,False,,4.0,3,95,False,True,CORE,True,2023-04-12 13:45:36.214761
Mark Mulder,21799,18100,Mark Mulder,Diamond,Athletics,94,Prime,SP,False,,,,94,False,False,SET 1,False,2023-04-12 13:45:36.214761
Andres Gimenez,11222,10500,Andres Gimenez,Diamond,Guardians,92,Captain,2B,False,,,,92,False,False,SET 1,False,2023-04-12 13:45:36.214761
Nestor Cortes Jr.,11222,10002,Nestor Cortes Jr.,Diamond,Yankees,92,Captain,SP,False,,,,92,False,False,SET 1,False,2023-04-12 13:45:36.214761
Gerrit Cole,10999,0,Gerrit Cole,Diamond,Yankees,92,Captain,SP,False,,,,92,False,False,SET 1,False,2023-04-12 13:45:36.214761
Bryce Harper,11195,0,Bryce Harper,Diamond,Phillies,92,Captain,RF,False,,,,92,False,False,SET 1,False,2023-04-12 13:45:36.214761
Elvis Andrus,11000,0,Elvis Andrus,Diamond,White Sox,92,Captain,SS,False,,,,92,False,False,SET 1,False,2023-04-12 13:45:36.214761
Ryan Pressly,11220,10000,Ryan Pressly,Diamond,Astros,92,Captain,CP,False,,,,92,False,False,SET 1,False,2023-04-12 13:45:36.214761
Willie Mays,20250,17680,Willie Mays,Diamond,Giants,92,Captain,CF,False,,,,92,False,False,SET 1,False,2023-04-12 13:45:36.214761
Mike Piazza,20044,16851,Mike Piazza,Diamond,Dodgers,92,Captain,C,False,,,,92,False,False,SET 1,False,2023-04-12 13:45:36.214761
Nolan Ryan,28785,24040,Nolan Ryan,Diamond,Rangers,92,Captain,SP,False,,,,92,False,False,SET 1,False,2023-04-12 13:45:36.214761
Trevor Hoffman,39393,34125,Trevor Hoffman,Diamond,Padres,92,Captain,CP,False,,,,92,False,False,SET 1,False,2023-04-12 13:45:36.214761
Roy Halladay,28977,24591,Roy Halladay,Diamond,Blue Jays,92,Captain,SP,False,,,,92,False,False,SET 1,False,2023-04-12 13:45:36.214761
Mike Trout,269000,250070,Mike Trout,Diamond,Angels,92,Live,CF,False,,5.0,1,94,True,True,CORE,True,2023-04-12 13:45:36.214761
David Ortiz,27599,23805,David Ortiz,Diamond,Red Sox,92,Captain,DH,False,,,,92,False,False,SET 1,False,2023-04-12 13:45:36.214761
David Wright,21900,19200,David Wright,Diamond,Mets,92,Captain,3B,False,,,,92,False,False,SET 1,False,2023-04-12 13:45:36.214761
Derek Jeter,21775,18431,Derek Jeter,Diamond,Yankees,92,Captain,SS,False,,,,92,False,False,SET 1,False,2023-04-12 13:45:36.214761
Edwin Diaz,90000,85600,Edwin Diaz,Diamond,Mets,91,Live,CP,False,,,,91,False,True,CORE,True,2023-04-12 13:45:36.214761
Didi Gregorius,23940,21445,Didi Gregorius,Diamond,Free Agents,90,World Baseball Classic,1B,False,,,,90,False,False,SET 1,False,2023-04-12 13:45:36.214761
Alexis Diaz,25724,21770,Alexis Diaz,Diamond,Reds,90,World Baseball Classic,CP,False,,,,90,False,False,SET 1,False,2023-04-12 13:45:36.214761
Mookie Betts,160000,151334,Mookie Betts,Diamond,Dodgers,90,Live,RF,False,,5.0,1,92,True,True,CORE,True,2023-04-12 13:45:36.214761
Tyler O'Neill,22429,18622,Tyler O'Neill,Diamond,Cardinals,90,World Baseball Classic,CF,False,,,,90,False,False,SET 1,False,2023-04-12 13:45:36.214761
Vinnie Pasquantino,25790,21750,Vinnie Pasquantino,Diamond,Royals,90,World Baseball Classic,1B,False,,,,90,False,False,SET 1,False,2023-04-12 13:45:36.214761
Kyle Schwarber,20754,17188,Kyle Schwarber,Diamond,Phillies,90,World Baseball Classic,LF,False,,,,90,False,False,SET 1,False,2023-04-12 13:45:36.214761
Justin Verlander,81999,75786,Justin Verlander,Diamond,Mets,90,Live,SP,False,,,,90,False,True,CORE,True,2023-04-12 13:45:36.214761
Max Scherzer,92500,84011,Max Scherzer,Diamond,Mets,90,Live,SP,False,,,,90,False,True,CORE,True,2023-04-12 13:45:36.214761
Paul Goldschmidt,94500,91500,Paul Goldschmidt,Diamond,Cardinals,90,Live,1B,False,,5.0,1,92,True,True,CORE,True,2023-04-12 13:45:36.214761
Nolan Arenado,102886,94178,Nolan Arenado,Diamond,Cardinals,90,Live,3B,True,2023-04-15T17:15:41.000Z,,,99,True,True,CORE,True,2023-04-12 13:45:36.214761
Yoenis Cespedes,26443,21400,Yoenis Cespedes,Diamond,Free Agents,90,World Baseball Classic,LF,False,,,,90,False,False,SET 1,False,2023-04-12 13:45:36.214761
Masataka Yoshida,21774,18539,Masataka Yoshida,Diamond,Red Sox,90,World Baseball Classic,LF,False,,,,90,False,False,SET 1,False,2023-04-12 13:45:36.214761
Ronald Acuna Jr.,21393,18175,Ronald Acuna Jr.,Diamond,Braves,90,World Baseball Classic,RF,False,,,,90,False,False,SET 1,False,2023-04-12 13:45:36.214761
Danny Valencia,24480,21500,Danny Valencia,Diamond,Free Agents,90,World Baseball Classic,3B,False,,,,90,False,False,SET 1,False,2023-04-12 13:45:36.214761
Juan Soto,19353,16188,Juan Soto,Diamond,Padres,90,World Baseball Classic,LF,False,,,,90,False,False,SET 1,False,2023-04-12 13:45:36.214761
Corbin Burnes,17449,15400,Corbin Burnes,Diamond,Brewers,89,Live,SP,False,,,,89,False,True,CORE,True,2023-04-12 13:45:36.214761
Lucas Giolito,7895,0,Lucas Giolito,Diamond,White Sox,89,Breakout,SP,False,,,,89,False,False,CORE,True,2023-04-12 13:45:36.214761
Ivan Rodriguez,7000,0,Ivan Rodriguez,Diamond,Marlins,89,Veteran,C,False,,,,89,False,False,CORE,True,2023-04-12 13:45:36.214761
Prince Fielder,15897,12890,Prince Fielder,Diamond,Tigers,89,All-Star,1B,False,,,,89,False,False,CORE,True,2023-04-12 13:45:36.214761
Larry Walker,16190,13622,Larry Walker,Diamond,Cardinals,89,Postseason,RF,False,,,,89,False,False,CORE,True,2023-04-12 13:45:36.214761
Wade Boggs,16963,13800,Wade Boggs,Diamond,Red Sox,89,2nd Half Heroes,3B,False,,,,89,False,False,CORE,True,2023-04-12 13:45:36.214761
Taylor Rogers,18494,16001,Taylor Rogers,Diamond,Twins,89,Breakout,RP,False,,,,89,False,False,CORE,True,2023-04-12 13:45:36.214761
MJ Melendez,8019,7011,MJ Melendez,Diamond,Royals,89,World Baseball Classic,C,False,,,,89,False,False,CORE,True,2023-04-12 13:45:36.214761
Harold Ramirez,8108,7010,Harold Ramirez,Diamond,Rays,89,World Baseball Classic,1B,False,,,,89,False,False,CORE,True,2023-04-12 13:45:36.214761
Ryan Ludwick,7800,0,Ryan Ludwick,Diamond,Cardinals,89,Breakout,RF,False,,,,89,False,False,CORE,True,2023-04-12 13:45:36.214761
Dean Kremer,7000,5988,Dean Kremer,Diamond,Orioles,88,World Baseball Classic,SP,False,,,,88,False,False,CORE,True,2023-04-12 13:45:36.214761
